text,reading,rank
十五,じゅうご,3642
部長,ぶちょう,3646
眼鏡,めがね,3648
吐息,といき,3651
雑誌,ざっし,3654
帽子,ぼうし,3655
警備,けいび,3656
器用,きよう,3657
校舎,こうしゃ,3658
両腕,りょううで,3660
商売,しょうばい,3661
突破,とっぱ,3662
身長,しんちょう,3663
戦士,せんし,3666
漫画,まんが,3667
姉妹,しまい,3668
金属,きんぞく,3669
指輪,ゆびわ,3671
商人,しょうにん,3675
奴隷,どれい,3676
素人,しろうと,3703
快感,かいかん,3704
無論,むろん,3705
患者,かんじゃ,3706
神経,しんけい,3707
二本,にほん,3716
遭遇,そうぐう,3717
断言,だんげん,3719
乙女,おとめ,3720
制御,せいぎょ,3722
大半,たいはん,3723
値段,ねだん,3725
兄貴,あにき,3726
微笑,びしょう,3733
落下,らっか,3739
後輩,こうはい,3741
理性,りせい,3742
部活,ぶかつ,3745
出口,でぐち,3746
驚愕,きょうがく,3747
加速,かそく,3753
数人,すうにん,3762
十年,じゅうねん,3764
一口,ひとくち,3766
液体,えきたい,3767
排除,はいじょ,3768
疲労,ひろう,3772
祝福,しゅくふく,3774
時折,ときおり,3784
固定,こてい,3805
不審,ふしん,3808
同行,どうこう,3809
電気,でんき,3815
孤独,こどく,3816
婚約,こんやく,3817
予測,よそく,3818
肯定,こうてい,3819
上空,じょうくう,3821
先程,さきほど,3824
一匹,いっぴき,3827
住人,じゅうにん,3830
平然,へいぜん,3831
心底,しんそこ,3832
拒絶,きょぜつ,3833
横顔,よこがお,3835
目撃,もくげき,3840
躊躇,ちゅうちょ,3842
捜査,そうさ,3845
本能,ほんのう,3846
国家,こっか,3849
購入,こうにゅう,3850
皆様,みなさま,3852
幸運,こううん,3854
報酬,ほうしゅう,3858
間近,まぢか,3864
右腕,みぎうで,3876
単語,たんご,3878
忠告,ちゅうこく,3902
脳裏,のうり,3905
透明,とうめい,3907
暴力,ぼうりょく,3911
領域,りょういき,3914
小柄,こがら,3915
看板,かんばん,3918
是非,ぜひ,3921
大抵,たいてい,3925
数十,すうじゅう,3926
方面,ほうめん,3927
植物,しょくぶつ,3928
確率,かくりつ,3929
例外,れいがい,3930
支度,したく,3931
避難,ひなん,3936
入学,にゅうがく,3937
首筋,くびすじ,3943
弟子,でし,3946
反撃,はんげき,3949
所詮,しょせん,3954
撮影,さつえい,3955
一点,いってん,3956
小屋,こや,3958
店内,てんない,3969
通信,つうしん,3971
悪意,あくい,3972
通用,つうよう,3973
構成,こうせい,3974
当日,とうじつ,3976
説教,せっきょう,3978
敏感,びんかん,4004
深夜,しんや,4005
攻略,こうりゃく,4010
不快,ふかい,4012
体重,たいじゅう,4013
専用,せんよう,4014
眉間,みけん,4015
残酷,ざんこく,4020
錯覚,さっかく,4023
誘導,ゆうどう,4024
優雅,ゆうが,4026
気絶,きぜつ,4029
好意,こうい,4031
沢山,たくさん,4032
国民,こくみん,4033
財布,さいふ,4034
人質,ひとじち,4039
修行,しゅぎょう,4042
怪訝,けげん,4044
盛大,せいだい,4045
職業,しょくぎょう,4046
同然,どうぜん,4047
容姿,ようし,4049
